,,,,,,,,,,,Last Updated >,11/16/2022,,[1kW = 1.34 HP],EVR = Electric Range,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1 Mile = 1.61Km,MCR = Max Charge Rate,,,,,,,,,,,,,,,,,,,,,
,Planned Fleet Targets:,371,,,Median,Average,,,,,<Filtered to 1/1/21 and later,,,,YoM = Years on Market,,,,,USD/EUR,EUR/USD,,GBP/USD,USD/GBP,CNY/USD,USD/AUD,,km/Mi,Mi/km,,,,,,,
,Count of Planned Models:,79,,,270.00,271.88,,,,,Overall Range (mi),,,,,,,,,€0.94,$1.06,,$1.22,£0.82,$0.14,$1.56,,0.62,1.61,,,,,,,
,Global EVs currently available:,337,,,80.00,78.22,,,,,Battery (kWh),,,,,,,,,,,,,,,,,,,,,,,,,
,Count of involved Manufacturers:,83,,,"$58,175.00","$119,648.57",,,,,MSRP (USD),See data that you'd like added or changed? ,,,,,,,,,,,,,,,,,,,,,,,,
,Average planned/mfr:,0.95,,,248,328.86,,,,,Max Power output (kW),"You can help keep this document maintained by commenting on a cell. Right-click the cell and click ""Comment"" to suggest a change.",,,,,,,,,,,,,,,,,,,,,,,,
,Average released/mfr:,4.06,,$/mi Range,$224.21,317.45,,,,,wh/mi,Total Count of Missing Data Cells,,,,,,,"2,828",,,,,,,,,,,,,,,,,
,Total Invested:,"$124,900,000,000",,,,,,,,,,363,416,19,19,19,24,150,150,159,204,95,95,96,89,27,46,66,103,368,320,,,,,
Date Unveiled,Expected Release,Release Date,Discontinued,YoM,Planned,Released,Model Year,Brand,Model Name,Trim,Vehicle Name,Powertrain,Motors,Class,Style,EV Type,Seating,US MSRP,Global MSRP,$/mi EVR,$/kwh,wh/mi,mi/kWh,kWh/100mi,Batt kWh,EVR (mi),Comb. Range,ICER (mi),EVR (km),L2 MCR,Max DCFC,Motor (kW),Mfr Country,Market Availability,Source,Comments
-,2022-10-31,2022-11-01,,1.00,N/A,TRUE,2023,Subaru,Solterra,,2023 Subaru Solterra ,AWD,,Compact Crossover,Crossover,BEV,5,"$38,000","€35,768.07",$158.33,$532.21,298,3.36,29.8,71.4,240,240,0,384,6.6,150,,Japan,,https://www.caranddriver.com/subaru/solterra,
2019-07-09,2022-11-01,2022-11-01,,1.00,N/A,TRUE,2023,Volkswagen,ID Buzz,,2023 Volkswagen ID Buzz ,,,Minivan,Van,BEV,5,"$39,999","€37,649.66",$107.24,$360.35,298,3.36,29.8,111.0,373,373,0,597,-,-,275,Germany,"EU Q4 2022, NAM 2024",https://www.cnbc.com/2022/03/09/volkswagen-unveils-new-electric-id-buzz-microbus.html,
,2022-11-01,2022-11-01,,1.00,N/A,TRUE,2023,Mercedes-Benz,EQS SUV,580 4Matic,2023 Mercedes-Benz EQS SUV 580 4Matic,AWD,,Luxury Crossover,Crossover,BEV,5,"$113,999","€107,303.27",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,2022-11-01,2022-11-01,,1.00,N/A,TRUE,2023,Mercedes-Benz,EQS SUV,450+ 4Matic,2023 Mercedes-Benz EQS SUV 450+ 4Matic,RWD,,Luxury Crossover,Crossover,BEV,5,"$113,999","€107,303.27",$380.00,"$1,057.50",359,2.78,35.9,107.8,300,300,0,-,11.0,195,,Germany,,https://www.caranddriver.com/mercedes-benz/eqs-suv,
2020-10-20,2022-11-20,2022-11-20,,0.95,N/A,TRUE,2023,GMC,Hummer EV,3X,2023 GMC Hummer EV 3X,,,Pickup Truck,Pickup,BEV,5,"$99,995","€94,121.79",$333.32,-,-,-,-,-,300,300,0,480,-,-,745,United States,,,
,2022-11-30,2022-11-30,,0.92,N/A,TRUE,2023,Fisker,Ocean,One,2023 Fisker Ocean One,,,Compact Luxury Crossover,Crossover,BEV,5,"$68,999","€64,946.34",$197.14,-,-,-,-,-,350,350,0,560,-,-,,United States,,https://www.fiskerinc.com/ocean,
2018,2022-12-01,2022-12-01,,0.92,N/A,TRUE,2023,Rimac,Nevera,,2023 Rimac Nevera ,AWD,,Hypercar,Coupe,BEV,2,"$2,400,000","€2,259,036.00","$7,058.82","$20,000.00",353,2.83,35.3,120.0,340,340,0,544,-,-,"1,427",Croatia,,https://www.motor1.com/news/235215/rimac-c2-ev-geneva-debut/,
2017-11-16,2022-12-01,2022-12-01,,0.92,N/A,TRUE,2023,Tesla,Semi,,2023 Tesla Semi ,,,Class-8 Heavy Truck,Other,BEV,1,"$180,000","€169,427.70",-,-,-,-,-,-,-,0,-,-,-,-,,United States,,,
,2022-12-31,2022-12-31,,0.84,N/A,TRUE,2023,Nissan,Ariya,Venture+,2023 Nissan Ariya Venture+,FWD,1,Crossover,Crossover,BEV,5,"$47,100","€44,333.58",$154.93,$517.58,299,3.34,29.9,91.0,304,304,0,-,11.0,130,,Japan,,,
2020-07-15,2022-12-31,2022-12-31,,0.84,N/A,TRUE,2023,Nissan,Ariya,Engage,2023 Nissan Ariya Engage,FWD,1,Crossover,Crossover,BEV,5,"$43,190","€40,653.24",$199.95,$654.39,306,3.27,30.6,66.0,216,216,0,346,11.0,130,,Japan,,,
-,2022-12-31,2022-12-31,,0.84,N/A,TRUE,2023,Nissan,Ariya,Evolve+,2023 Nissan Ariya Evolve+,FWD,1,Crossover,Crossover,BEV,5,"$50,190","€47,242.09",$173.67,$551.54,315,3.18,31.5,91.0,289,289,0,-,11.0,130,,Japan,,,
,2022-12-30,2022-12-31,,0.84,N/A,TRUE,2023,BMW,i7,xDrive 60,2023 BMW i7 xDrive 60,,,Full-Size Luxury Sedan,Sedan,BEV,5,"$119,300","€112,292.91",$397.67,"$1,106.68",359,2.78,35.9,107.8,300,300,0,-,-,195,,United States,,,
,2022-12-31,2022-12-31,,0.84,N/A,TRUE,2023,Canoo,MPDV,1 - 80kwh,2023 Canoo MPDV 1 - 80kwh,,,Commerical Van,Van,BEV,2,-,-,-,-,348,2.88,34.8,80.0,230,230,0,-,-,-,,,,,
2021-09-07,2023-12-31,2022-12-31,,0.84,TRUE,TRUE,2023,Mercedes-Benz,EQG,,2023 Mercedes-Benz EQG ,,,Mid-Size SUV,SUV,BEV,5,-,-,-,-,-,-,-,-,-,0,-,-,-,-,,Germany,,https://www.caranddriver.com/news/a29737731/mercedes-g-wagen-electric/,
,2022-12-31,2022-12-31,,0.84,N/A,TRUE,2023,Vinfast,VF8,Eco [Battery 2] (-Sub),2023 Vinfast VF8 Eco [Battery 2] (-Sub),AWD,2,Compact Crossover,Crossover,BEV,5,,€0.00,$0.00,-,-,-,-,-,292,292,,,,,,,,,
,2022-12-31,2022-12-31,,0.84,N/A,TRUE,2023,Vinfast,VF8,Eco [Battery 2] (+Sub),2023 Vinfast VF8 Eco [Battery 2] (+Sub),AWD,2,Compact Crossover,Crossover,BEV,5,,€0.00,$0.00,-,-,-,-,-,292,292,,,,,,,,,
,2022-12-31,2022-12-31,,0.84,N/A,TRUE,2023,Vinfast,VF8,Plus [Battery 2] (-Sub),2023 Vinfast VF8 Plus [Battery 2] (-Sub),AWD,2,Compact Crossover,Crossover,BEV,5,,€0.00,$0.00,-,-,-,-,-,277,277,,,,,,,,,
